#Organism/Name,BioProject,Group,SubGroup,Size (Mb),GC%,Chromosomes/RefSeq,Chromosomes/INSDC,Plasmids/RefSeq,Plasmids/INSDC,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Status
Enterobacter cloacae P101,PRJNA210654,Proteobacteria,Gammaproteobacteria,5.36993,54.4,-,CP006580.1,-,-,-,1,5289,5135,12/31/2013,12/31/2013,Complete
Burkholderia mallei SAVP1,PRJNA58387,Proteobacteria,Betaproteobacteria,5.2324,68.3653,"NC_008784.1,NC_008785.1","CP000525.1,CP000526.1",-,-,-,2,5290,5184,1/5/2007,6/10/2013,Complete
Escherichia coli UMN026,PRJNA62981,Proteobacteria,Gammaproteobacteria,5.3582,50.6405,NC_011751.1,CU928163.2,"NC_011749.1,NC_011739.1","CU928148.1,CU928149.1",-,3,5294,5010,12/16/2008,6/7/2013,Complete
Escherichia coli Xuzhou21,PRJNA163995,Proteobacteria,Gammaproteobacteria,5.51674,50.3828,NC_017906.1,CP001925.1,"NC_017903.1,NC_017907.1","CP001927.1,CP001926.1",-,3,5294,5179,4/8/2011,6/8/2013,Complete
Mycobacterium intracellulare MOTT-64,PRJNA89385,Actinobacteria,Actinobacteria,5.50109,68.1,NC_016948.1,CP003324.1,-,-,-,1,5297,5249,2/29/2012,1/30/2014,Complete
Escherichia coli O104:H4 str. 2009EL-2050,PRJNA175905,Proteobacteria,Gammaproteobacteria,5.43817,50.5424,NC_018650.1,CP003297.1,"NC_018652.1,NC_018654.1,NC_018651.1","CP003300.1,CP003299.1,CP003298.1",-,4,5304,5182,9/25/2012,12/11/2013,Complete
Klebsiella pneumoniae subsp. pneumoniae MGH 78578,PRJNA57619,Proteobacteria,Gammaproteobacteria,5.69489,57.1666,NC_009648.1,CP000647.1,"NC_009651.1,NC_009652.1,NC_009649.1,NC_009653.1,NC_009650.1","CP000650.1,CP000651.1,CP000648.1,CP000652.1,CP000649.1",-,6,5304,5184,7/5/2007,6/6/2013,Complete
Gloeocapsa sp. PCC 7428,PRJNA183112,Cyanobacteria,Oscillatoriophycideae,5.88271,43.3899,NC_019745.1,CP003646.1,"NC_019747.1,NC_020051.1,NC_019759.1,NC_019746.1","CP003650.1,CP003648.1,CP003649.1,CP003647.1",-,5,5304,5011,12/6/2012,7/22/2013,Complete
Pseudomonas putida W619,PRJNA58651,Proteobacteria,Gammaproteobacteria,5.77433,61.4,NC_010501.1,CP000949.1,-,-,-,1,5309,5182,3/11/2008,1/28/2014,Complete
Mycobacterium avium 104,PRJNA57693,Actinobacteria,Actinobacteria,5.47549,69,NC_008595.1,CP000479.1,-,-,-,1,5313,5120,11/20/2006,6/10/2013,Complete
Mycobacterium indicus pranii MTCC 9506,PRJNA175523,Actinobacteria,Actinobacteria,5.58901,68,NC_018612.1,CP002275.1,-,-,-,1,5318,5254,9/18/2012,6/11/2013,Complete
Escherichia coli ED1a,PRJNA59379,Proteobacteria,Gammaproteobacteria,5.20955,50.7,NC_011745.1,CU928162.2,-,-,-,1,5321,4911,12/17/2008,8/27/2013,Complete
Shigella boydii CDC 3083-94,PRJNA58415,Proteobacteria,Gammaproteobacteria,4.87466,50.9975,NC_010658.1,CP001063.1,"NC_010672.1,NC_010660.1,NC_010659.1,NC_010657.1,NC_010656.1","CP001061.1,CP001062.1,CP001060.1,CP001059.1,CP001058.1",-,6,5323,4557,5/5/2008,6/7/2013,Complete
Sphingobacterium sp. 21,PRJNA64755,Bacteroidetes/Chlorobi group,Bacteroidetes,6.22641,41.1,NC_015277.1,CP002584.1,-,-,-,1,5338,5169,3/22/2011,7/6/2013,Complete
Bacillus thuringiensis serovar konkukian str. 97-27,PRJNA58089,Firmicutes,Bacilli,5.31479,35.3594,NC_005957.1,AE017355.1,NC_006578.1,CP000047.1,-,2,5343,5197,6/28/2004,1/28/2014,Complete
Desulfatibacillum alkenivorans AK-01,PRJNA58913,Proteobacteria,delta/epsilon subdivisions,6.51707,54.5,NC_011768.1,CP001322.1,-,-,-,1,5359,5252,12/24/2008,12/11/2013,Complete
Nodularia spumigena CCY9414,PRJNA185469,Cyanobacteria,Nostocales,5.46527,41.2,-,CP007203.1,-,-,-,1,5363,5295,2/14/2014,2/14/2014,Complete
Herpetosiphon aurantiacus DSM 785,PRJNA58599,Chloroflexi,Chloroflexi,6.78543,50.8853,NC_009972.1,CP000875.1,"NC_009973.1,NC_009974.1","CP000876.1,CP000877.1",-,3,5364,5279,11/13/2007,12/11/2013,Complete
Cyanothece sp. ATCC 51142,PRJNA59013,Cyanobacteria,Oscillatoriophycideae,5.46038,37.967,"NC_010547.1,NC_010546.1","CP000807.1,CP000806.1","NC_010541.1,NC_010539.1,NC_010542.1,NC_010543.1","CP000809.1,CP000808.1,CP000810.1,CP000811.1",-,6,5364,5303,4/1/2008,6/7/2013,Complete
Escherichia coli O55:H7 str. CB9615,PRJNA46655,Proteobacteria,Gammaproteobacteria,5.45235,50.4806,NC_013941.1,CP001846.1,NC_013942.1,CP001847.1,-,2,5367,5117,3/8/2010,6/8/2013,Complete
Pseudomonas putida S16,PRJNA68747,Proteobacteria,Gammaproteobacteria,5.98479,62.3,NC_015733.1,CP002870.1,-,-,-,1,5369,5218,6/30/2011,6/11/2013,Complete
'Nostoc azollae' 0708,PRJNA49725,Cyanobacteria,Nostocales,5.48614,38.3265,NC_014248.1,CP002059.1,"NC_014250.1,NC_014249.1","CP002061.1,CP002060.1",-,3,5380,3651,6/14/2010,1/28/2014,Complete
Rhodopseudomonas palustris TIE-1,PRJNA58995,Proteobacteria,Alphaproteobacteria,5.74404,64.9,NC_011004.1,CP001096.1,-,-,-,1,5382,5246,6/23/2008,12/11/2013,Complete
Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,PRJNA59073,Proteobacteria,Gammaproteobacteria,5.47267,57.3928,NC_012731.1,AP006725.1,NC_006625.1,AP006726.1,-,2,5386,5262,1/6/2005,6/10/2013,Complete
Microlunatus phosphovorus NM-1,PRJNA68055,Actinobacteria,Actinobacteria,5.68312,67.3,NC_015635.1,AP012204.1,-,-,-,1,5392,5338,6/2/2011,7/6/2013,Complete
Bacillus anthracis str. Ames,PRJNA57909,Firmicutes,Bacilli,5.22729,35.4,NC_003997.3,AE016879.1,-,-,-,1,5401,5039,5/16/2002,11/26/2013,Complete
Pseudomonas putida F1,PRJNA58355,Proteobacteria,Gammaproteobacteria,5.95996,61.9,NC_009512.1,CP000712.1,-,-,-,1,5402,5249,5/31/2007,12/11/2013,Complete
Agrobacterium sp. H13-3,PRJNA63403,Proteobacteria,Alphaproteobacteria,5.57377,58.5333,"NC_015508.1,NC_015183.1","CP002249.1,CP002248.1",NC_015184.1,CP002250.1,-,3,5417,5345,3/2/2011,1/30/2014,Complete
Pseudomonas syringae pv. phaseolicola 1448A,PRJNA58099,Proteobacteria,Gammaproteobacteria,6.11245,57.8989,NC_005773.3,CP000058.1,"NC_007274.1,NC_007275.1","CP000059.1,CP000060.1",-,3,5437,5172,3/4/2004,1/30/2014,Complete
Mycobacterium yongonense 05-1390,PRJNA82265,Actinobacteria,Actinobacteria,5.66209,67.9502,-,-,-,-,-,3,5439,5390,2/16/2013,1/30/2014,Complete
Mycobacterium yongonense 05-1390,PRJNA189649,Actinobacteria,Actinobacteria,5.66209,67.9502,NC_021715.1,CP003347.1,"NC_020275.1,NC_020276.1","JQ657805.1,JQ657806.1",-,3,5439,5390,2/16/2013,1/30/2014,Complete
Escherichia coli O157:H7 str. Sakai,PRJNA57781,Proteobacteria,Gammaproteobacteria,5.59448,50.4477,NC_002695.1,BA000007.2,"NC_002128.1,NC_002127.1","AB011549.2,AB011548.2",-,3,5448,5292,7/23/1998,7/22/2013,Complete
Sphingomonas wittichii RW1,PRJNA58691,Proteobacteria,Alphaproteobacteria,5.91525,67.9033,NC_009511.1,CP000699.1,"NC_009508.1,NC_009507.1","CP000701.1,CP000700.1",-,3,5455,5345,5/31/2007,1/28/2014,Complete
Nakamurella multipartita DSM 44233,PRJNA59221,Actinobacteria,Actinobacteria,6.0603,70.9,NC_013235.1,CP001737.1,-,-,-,1,5456,5240,9/15/2009,1/28/2014,Complete
Agrobacterium fabrum str. C58,PRJNA57865,Proteobacteria,Alphaproteobacteria,5.67426,59.0606,"NC_003063.2,NC_003062.2","AE007870.2,AE007869.2","NC_003065.3,NC_003064.2","AE007871.2,AE007872.2",-,4,5459,5355,8/14/2001,1/30/2014,Complete
Pseudomonas putida HB3267,PRJNA184078,Proteobacteria,Gammaproteobacteria,5.95611,62.5649,NC_019905.1,CP003738.1,NC_019906.1,CP003739.1,-,2,5478,5386,12/19/2012,6/10/2013,Complete
Bacillus megaterium WSH-002,PRJNA159841,Firmicutes,Bacilli,5.07529,38.1493,NC_017138.1,CP003017.1,"NC_017139.1,NC_017140.1,NC_017141.1","CP003018.1,CP003019.1,CP003020.1",-,4,5491,5272,9/2/2011,6/8/2013,Complete
Pseudomonas monteilii SB3101,PRJNA232253,Proteobacteria,Gammaproteobacteria,5.94512,62.5,NC_023076.1,CP006979.1,-,-,-,1,5491,5360,12/18/2013,12/19/2013,Complete
Bacillus cereus ATCC 14579,PRJNA57975,Firmicutes,Bacilli,5.42708,35.3076,NC_004722.1,AE016877.1,NC_004721.2,AE016878.2,-,2,5494,5231,4/16/2003,1/30/2014,Complete
Pseudomonas fluorescens A506,PRJNA165185,Proteobacteria,Gammaproteobacteria,6.01955,59.9233,NC_017911.1,CP003041.1,NC_021361.1,CP003042.1,-,2,5495,5334,5/11/2012,6/11/2013,Complete
Agrobacterium tumefaciens LBA4213 (Ach5),PRJNA231114,Proteobacteria,Alphaproteobacteria,5.63069,58.5172,-,"CP007226.1,CP007225.1",-,"CP007228.1,CP007227.1",-,4,5499,5432,2/24/2014,2/24/2014,Complete
Burkholderia mallei ATCC 23344,PRJNA57725,Proteobacteria,Betaproteobacteria,5.83553,68.5188,"NC_006349.2,NC_006348.1","CP000011.2,CP000010.1",-,-,-,2,5506,5022,9/22/2004,6/27/2013,Complete
Cyanothece sp. PCC 7425,PRJNA59435,Cyanobacteria,Oscillatoriophycideae,5.78611,50.6603,NC_011884.1,CP001344.1,"NC_011885.1,NC_011882.1,NC_011880.1","CP001346.1,CP001347.1,CP001345.1",-,4,5507,5327,1/9/2009,12/11/2013,Complete
Paenibacillus polymyxa CR1,PRJNA231659,Firmicutes,Bacilli,6.02467,45.6,NC_023037.1,CP006941.1,-,-,-,1,5510,5283,12/13/2013,12/13/2013,Complete
Bacillus thuringiensis BMB171,PRJNA49135,Firmicutes,Bacilli,5.64305,35.1891,NC_014171.1,CP001903.1,NC_014172.1,CP001904.1,-,2,5513,5352,5/20/2010,1/30/2014,Complete
Caulobacter sp. K31,PRJNA58551,Proteobacteria,Alphaproteobacteria,5.8894,67.3835,NC_010338.1,CP000927.1,"NC_010333.1,NC_010335.1","CP000929.1,CP000928.1",-,3,5515,5438,2/7/2008,1/28/2014,Complete
Escherichia coli O157:H7 str. EDL933,PRJNA57831,Proteobacteria,Gammaproteobacteria,5.62052,50.3541,NC_002655.2,AE005174.2,NC_007414.1,AF074613.1,-,2,5516,5385,11/3/1998,5/23/2013,Complete
Pseudomonas putida KT2440,PRJNA57843,Proteobacteria,Gammaproteobacteria,6.18186,61.5,NC_002947.3,AE015451.1,-,-,-,1,5516,5350,2/14/2002,6/27/2013,Complete
Paenibacillus polymyxa M1,PRJEA162159,Firmicutes,Bacilli,6.23112,44.8,NC_017542.1,HE577054.1,NC_017543.1,HE577055.1,-,2,5516,5364,8/5/2011,6/11/2013,Complete
Ralstonia pickettii 12D,PRJNA58859,Proteobacteria,Betaproteobacteria,5.68536,63.3352,"NC_012856.1,NC_012857.1","CP001644.1,CP001645.1","NC_012855.1,NC_012851.1,NC_012849.1","CP001646.1,CP001648.1,CP001647.1",-,5,5520,5361,6/22/2009,12/11/2013,Complete
Pseudomonas putida GB-1,PRJNA58735,Proteobacteria,Gammaproteobacteria,6.07843,61.9,NC_010322.1,CP000926.1,-,-,-,1,5529,5408,2/5/2008,12/23/2013,Complete
Pseudomonas sp. UW4,PRJNA182733,Proteobacteria,Gammaproteobacteria,6.18339,60.1,NC_019670.1,CP003880.1,-,-,-,1,5537,5423,12/3/2012,6/11/2013,Complete
Nostoc sp. PCC 7107,PRJNA182932,Cyanobacteria,Nostocales,6.32982,40.4,NC_019676.1,CP003548.1,-,-,-,1,5538,5237,12/4/2012,7/22/2013,Complete
Escherichia coli O103:H2 str. 12009,PRJNA41013,Proteobacteria,Gammaproteobacteria,5.52486,50.6781,NC_013353.1,AP010958.1,NC_013354.1,AP010959.1,-,2,5541,5117,9/10/2009,6/8/2013,Complete
Pseudomonas putida NBRC 14164,PRJNA208670,Proteobacteria,Gammaproteobacteria,6.1567,62.3,NC_021505.1,AP013070.1,-,-,-,1,5544,5449,6/15/2013,7/12/2013,Complete
Methylobacterium populi BJ001,PRJNA58937,Proteobacteria,Alphaproteobacteria,5.849,69.3702,NC_010725.1,CP001029.1,"NC_010721.1,NC_010727.1","CP001031.1,CP001030.1",-,3,5546,5365,4/9/2008,12/11/2013,Complete
Mycobacterium gilvum Spyr1,PRJNA61403,Actinobacteria,Actinobacteria,5.78329,67.8018,NC_014814.1,CP002385.1,"NC_014812.1,NC_014811.1","CP002387.1,CP002386.1",-,3,5552,5349,12/21/2010,7/6/2013,Complete
Nocardia cyriacigeorgica GUH-2,PRJNA89395,Actinobacteria,Actinobacteria,6.19465,68.4,NC_016887.1,FO082843.1,-,-,-,1,5558,5475,2/7/2012,8/28/2013,Complete
Agrobacterium vitis S4,PRJNA58249,Proteobacteria,Alphaproteobacteria,6.32095,57.4965,"NC_011988.1,NC_011989.1","CP000634.1,CP000633.1","NC_011982.1,NC_011981.1,NC_011991.1,NC_011984.1,NC_011986.1","CP000637.1,CP000638.1,CP000635.1,CP000636.1,CP000639.1",-,7,5559,5389,1/27/2009,1/30/2014,Complete
Pseudovibrio sp. FO-BEG1,PRJNA82373,Proteobacteria,Alphaproteobacteria,5.91678,52.4149,NC_016642.1,CP003147.1,NC_016646.1,CP003148.1,-,2,5559,5467,12/5/2011,7/22/2013,Complete
Modestobacter marinus,PRJEA167487,Actinobacteria,Actinobacteria,5.57552,74.1,NC_017955.1,FO203431.1,-,-,-,1,5560,5444,5/24/2012,6/11/2013,Complete
Bacillus cereus B4264,PRJNA58757,Firmicutes,Bacilli,5.41904,35.3,NC_011725.1,CP001176.1,-,-,-,1,5564,5398,12/17/2008,6/10/2013,Complete
Pseudomonas monteilii SB3078,PRJNA232252,Proteobacteria,Gammaproteobacteria,6.00009,62.5,NC_023075.1,CP006978.1,-,-,-,1,5566,5436,12/18/2013,12/19/2013,Complete
Mycobacterium marinum M,PRJNA59423,Actinobacteria,Actinobacteria,6.66014,65.7077,NC_010612.1,CP000854.1,NC_010604.1,CP000895.1,-,2,5570,5452,4/15/2008,6/7/2013,Complete
Mycobacterium liflandii 128FXT,PRJNA59005,Actinobacteria,Actinobacteria,6.39954,65.5196,NC_020133.1,CP003899.1,NC_011355.1,EU271968.1,-,2,5570,5064,10/13/2008,6/10/2013,Complete
Rhizobium sp. IRBG74,PRJNA222820,Proteobacteria,Alphaproteobacteria,5.46498,59.1073,"NC_022535.1,NC_022545.1","HG518322.1,HG518323.1",NC_022536.1,HG518324.1,-,3,5571,5478,10/9/2013,1/2/2014,Complete
Escherichia coli CFT073,PRJNA57915,Proteobacteria,Gammaproteobacteria,5.23143,50.5,NC_004431.1,AE014075.1,-,-,-,1,5574,5364,12/6/2002,8/26/2013,Complete
Pseudomonas aeruginosa PAO581,PRJNA219357,Proteobacteria,Gammaproteobacteria,6.04397,66.4,-,CP006705.1,-,-,-,1,5577,5500,9/16/2013,10/23/2013,Complete
Bacillus cereus FRI-35,PRJNA173403,Firmicutes,Bacilli,5.38232,35.4535,NC_018491.1,CP003747.1,"NC_018493.1,NC_018494.1,NC_018499.1,NC_018492.1","CP003749.1,CP003751.1,CP003750.1,CP003748.1",-,5,5580,5435,8/21/2012,6/9/2013,Complete
Pseudomonas sp. VLB120,PRJNA226717,Proteobacteria,Gammaproteobacteria,5.96622,61.5304,NC_022738.1,CP003961.1,NC_022739.1,CP003962.1,-,2,5580,5479,11/1/2013,1/30/2014,Complete
Escherichia coli O157:H7 str. TW14359,PRJNA59235,Proteobacteria,Gammaproteobacteria,5.62274,50.4563,NC_013008.1,CP001368.1,NC_013010.1,CP001369.1,-,2,5586,5363,7/23/2009,6/8/2013,Complete
Klebsiella oxytoca KCTC 1686,PRJNA83159,Proteobacteria,Gammaproteobacteria,5.97411,56,NC_016612.1,CP003218.1,-,-,-,1,5598,5488,12/29/2011,7/7/2013,Complete
Nocardiopsis alba ATCC BAA-2165,PRJNA174334,Actinobacteria,Actinobacteria,5.84821,69.6,NC_018524.1,CP003788.1,-,-,-,1,5608,5508,9/4/2012,6/11/2013,Complete
Bacillus cereus F837/76,PRJNA83611,Firmicutes,Bacilli,5.2885,35.4,NC_016779.1,CP003187.1,"NC_016794.1,NC_016780.1","CP003188.1,CP003189.1",-,3,5609,5468,12/21/2011,1/30/2014,Complete
Enterobacter aerogenes EA1509E,PRJNA187411,Proteobacteria,Gammaproteobacteria,5.5911,54.9278,"NC_020182.1,NC_020180.1,NC_020181.1","FO203353.1,FO203354.1,FO203355.1",-,-,-,3,5613,5499,1/25/2013,6/10/2013,Complete
Burkholderia thailandensis 2002721723,PRJNA177185,Proteobacteria,Betaproteobacteria,6.57713,67.5432,-,"CP004098.1,CP004097.1",-,-,-,2,5617,5533,2/10/2014,2/10/2014,Complete
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,PRJNA86059,Proteobacteria,Gammaproteobacteria,4.9641,52.217,NC_016856.1,CP001363.1,NC_016855.1,CP001362.1,-,2,5619,5416,11/13/2009,8/20/2013,Complete
Bacillus cereus Q1,PRJNA58529,Firmicutes,Bacilli,5.50621,35.504,NC_011969.1,CP000227.1,"NC_011973.1,NC_011971.1","CP000228.1,CP000229.1",-,3,5622,5489,1/23/2009,6/7/2013,Complete
Burkholderia mallei NCTC 10229,PRJNA58383,Proteobacteria,Betaproteobacteria,5.7423,68.4784,"NC_008835.1,NC_008836.1","CP000545.1,CP000546.1",-,-,-,2,5623,5509,1/30/2007,6/10/2013,Complete
Polaromonas sp. JS666,PRJNA58207,Proteobacteria,Betaproteobacteria,5.89868,61.9974,NC_007948.1,CP000316.1,"NC_007949.1,NC_007950.1","CP000317.1,CP000318.1",-,3,5626,5453,4/10/2006,1/28/2014,Complete
Desulfosporosinus orientis DSM 765,PRJNA82939,Firmicutes,Clostridia,5.86308,42.9,NC_016584.1,CP003108.1,-,-,-,1,5627,5242,11/16/2011,7/22/2013,Complete
Escherichia coli O145:H28 str. RM13516,PRJNA178650,Proteobacteria,Gammaproteobacteria,5.55901,50.5948,-,CP006262.1,-,"CP006264.1,CP006263.1",-,3,5636,5513,1/14/2014,1/14/2014,Complete
Enterobacter cloacae subsp. cloacae ATCC 13047,PRJNA48363,Proteobacteria,Gammaproteobacteria,5.5988,54.5971,NC_014121.1,CP001918.1,"NC_014107.1,NC_014108.1","CP001919.1,CP001920.1",-,3,5639,5518,4/23/2010,7/22/2013,Complete
Paenibacillus terrae HPL-003,PRJNA82371,Firmicutes,Bacilli,6.0834,46.8,NC_016641.1,CP003107.1,-,-,-,1,5642,5525,11/16/2011,6/11/2013,Complete
Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,PRJNA49483,Actinobacteria,Actinobacteria,6.54331,72.7052,"NC_014210.1,NC_014211.1","CP002040.1,CP002041.1",-,-,-,2,5647,5497,5/26/2010,1/28/2014,Complete
Burkholderia thailandensis E444,PRJNA178702,Proteobacteria,Betaproteobacteria,6.6517,67.6859,-,"CP004117.1,CP004118.1",-,-,-,2,5664,5571,2/10/2014,2/10/2014,Complete
Desulfomonile tiedjei DSM 6799,PRJNA168320,Proteobacteria,delta/epsilon subdivisions,6.52703,50.1107,NC_018025.1,CP003360.1,NC_018026.1,CP003361.1,-,2,5664,5494,6/12/2012,7/17/2013,Complete
Mycobacterium gilvum PYR-GCK,PRJNA59421,Actinobacteria,Actinobacteria,5.98283,67.7265,NC_009338.1,CP000656.1,"NC_009340.1,NC_009339.1,NC_009341.1","CP000658.1,CP000657.1,CP000659.1",-,4,5669,5579,4/13/2007,1/28/2014,Complete
Vibrio campbellii ATCC BAA-1116,PRJNA218471,Proteobacteria,Gammaproteobacteria,6.03183,45.4642,"NC_022269.1,NC_022270.1","CP006605.1,CP006606.1",NC_022271.1,CP006607.1,-,3,5674,5428,9/4/2013,1/6/2014,Complete
Nostoc sp. PCC 7524,PRJNA182933,Cyanobacteria,Nostocales,6.71887,41.4991,NC_019684.1,CP003552.1,"NC_019677.1,NC_019685.1","CP003553.1,CP003554.1",-,3,5687,5449,12/4/2012,7/22/2013,Complete
Pseudomonas aeruginosa PA1R,PRJNA228932,Proteobacteria,Gammaproteobacteria,6.30931,66.3,NC_022806.1,CP004055.1,-,-,-,1,5689,5612,11/12/2013,1/30/2014,Complete
Glaciecola psychrophila 170,PRJNA193711,Proteobacteria,Gammaproteobacteria,5.41369,40.4,NC_020514.1,CP003837.1,-,-,-,1,5695,5618,3/20/2013,1/30/2014,Complete
Pseudomonas aeruginosa PAO1,PRJNA57945,Proteobacteria,Gammaproteobacteria,6.2644,66.6,NC_002516.2,AE004091.2,-,-,-,1,5697,5572,5/16/2000,10/29/2013,Complete
Mycobacterium sp. MCS,PRJNA58465,Actinobacteria,Actinobacteria,5.92052,68.431,NC_008146.1,CP000384.1,NC_008147.1,CP000385.1,-,2,5698,5615,6/9/2006,1/28/2014,Complete
Fibrella aestuarina BUZ 2,PRJEA178352,Bacteroidetes/Chlorobi group,Bacteroidetes,6.93726,56.4114,NC_020054.1,HE796683.1,NC_019012.1,HE796684.1,-,2,5703,5627,4/5/2012,6/9/2013,Complete
Burkholderia thailandensis E264,PRJNA58081,Proteobacteria,Betaproteobacteria,6.72397,67.6468,"NC_007651.1,NC_007650.1","CP000086.1,CP000085.1",-,-,-,2,5712,5632,12/15/2005,6/10/2013,Complete
Burkholderia thailandensis H0587,PRJNA178703,Proteobacteria,Betaproteobacteria,6.76837,67.7476,-,"CP004089.1,CP004090.1",-,-,-,2,5712,5629,2/10/2014,2/10/2014,Complete
Pseudomonas aeruginosa c7447m,PRJNA219358,Proteobacteria,Gammaproteobacteria,6.2623,66.5,-,CP006728.1,-,-,-,1,5731,5657,9/16/2013,10/23/2013,Complete
Bacillus cereus biovar anthracis str. CI,PRJNA50615,Firmicutes,Bacilli,5.48665,35.2707,NC_014335.1,CP001746.1,"NC_014333.1,NC_014331.1,NC_014332.1","CP001749.1,CP001747.1,CP001748.1",-,4,5733,5558,7/9/2010,1/30/2014,Complete
Bacillus anthracis str. 'Ames Ancestor',PRJNA58083,Firmicutes,Bacilli,5.50393,35.2629,NC_007530.2,AE017334.2,"NC_007323.3,NC_007322.2","AE017335.3,AE017336.2",-,3,5735,5305,5/19/2004,5/23/2013,Complete
Pseudomonas aeruginosa PAO1-VE2,PRJNA225026,Proteobacteria,Gammaproteobacteria,6.26548,66.6,-,CP006831.1,-,-,-,1,5751,5670,10/28/2013,12/27/2013,Complete
Pseudomonas aeruginosa PAO1-VE13,PRJNA225027,Proteobacteria,Gammaproteobacteria,6.26548,66.6,-,CP006832.1,-,-,-,1,5752,5671,10/28/2013,12/27/2013,Complete
Escherichia coli UMNK88,PRJNA161991,Proteobacteria,Gammaproteobacteria,5.66676,50.7397,NC_017641.1,CP002729.1,"NC_017639.1,NC_017642.1,NC_017643.1,NC_017645.1,NC_017640.1","CP002730.1,CP002731.1,CP002733.1,HQ023862.1,CP002732.1",-,6,5754,5607,5/9/2011,6/8/2013,Complete
Pseudomonas aeruginosa M18,PRJNA162089,Proteobacteria,Gammaproteobacteria,6.32775,66.5,NC_017548.1,CP002496.1,-,-,-,1,5770,5684,9/19/2011,6/11/2013,Complete
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7,PRJNA59097,Proteobacteria,Gammaproteobacteria,4.85889,52.1,NC_010102.1,CP000886.1,-,-,-,1,5771,5591,11/30/2007,8/20/2013,Complete
Bacillus cereus 03BB102,PRJNA59299,Firmicutes,Bacilli,5.44931,35.2945,NC_012472.1,CP001407.1,NC_012473.1,CP001406.1,-,2,5775,5606,3/30/2009,6/10/2013,Complete
Bacillus cereus E33L,PRJNA58103,Firmicutes,Bacilli,5.84323,35.1687,NC_006274.1,CP000001.1,"NC_007104.1,NC_007103.1,NC_007105.1,NC_007106.1,NC_007107.1","CP000041.1,CP000040.1,CP000042.1,CP000043.1,CP000044.1",-,6,5796,5641,9/10/2004,1/28/2014,Complete
Pseudomonas putida DOT-T1E,PRJNA171260,Proteobacteria,Gammaproteobacteria,6.2607,61.4,NC_018220.1,CP003734.1,-,-,-,1,5803,5721,7/24/2012,1/30/2014,Complete
Bacillus megaterium QM B1551,PRJNA15862,Firmicutes,Bacilli,5.52319,37.9674,NC_014019.1,CP001983.1,"NC_004604.2,NC_010009.2,NC_014023.1,NC_010008.2,NC_010010.2,NC_014025.1,NC_014031.1","CP001987.1,CP001985.1,CP001990.1,CP001984.1,CP001986.1,CP001988.1,CP001989.1",-,8,5805,5612,3/10/2003,1/30/2014,Complete
Anabaena variabilis ATCC 29413,PRJNA58043,Cyanobacteria,Nostocales,7.10575,41.3911,"NC_014000.1,NC_007413.1","CP000118.1,CP000117.1","NC_007411.1,NC_007412.1,NC_007410.1","CP000120.1,CP000121.1,CP000119.1",-,5,5813,5710,9/15/2005,1/28/2014,Complete
Pseudomonas fluorescens Pf0-1,PRJNA57591,Proteobacteria,Gammaproteobacteria,6.43841,60.5,NC_007492.2,CP000094.2,-,-,-,1,5829,5722,10/7/2005,1/28/2014,Complete
Calothrix sp. PCC 6303,PRJNA183109,Cyanobacteria,Nostocales,6.96039,39.8015,NC_019751.1,CP003610.1,"NC_019752.1,NC_019728.1,NC_019727.1","CP003613.1,CP003612.1,CP003611.1",-,4,5841,5535,12/6/2012,7/22/2013,Complete
Pseudomonas syringae pv. tomato str. DC3000,PRJNA57967,Proteobacteria,Gammaproteobacteria,6.53826,58.3401,NC_004578.1,AE016853.1,"NC_004633.1,NC_004632.1","AE016855.1,AE016854.1",-,3,5842,5619,3/5/2003,5/23/2013,Complete
Mycobacterium sp. JLS,PRJNA58489,Actinobacteria,Actinobacteria,6.04842,68.4,NC_009077.1,CP000580.1,-,-,-,1,5842,5739,2/27/2007,1/28/2014,Complete
Klebsiella pneumoniae ATCC BAA-2146,PRJNA183901,Proteobacteria,Gammaproteobacteria,5.78113,56.9738,-,CP006659.1,-,"CP006660.1,CP006661.1,CP006663.1,CP006662.1",-,5,5843,5637,2/5/2014,2/7/2014,Complete
Burkholderia thailandensis MSMB121,PRJNA201037,Proteobacteria,Betaproteobacteria,6.73138,67.5106,"NC_021174.1,NC_021173.1","CP004096.1,CP004095.1",-,-,-,2,5845,5758,4/30/2013,6/11/2013,Complete
Tistrella mobilis KA081020-065,PRJNA167486,Proteobacteria,Alphaproteobacteria,6.51298,68.058,NC_017956.1,CP003236.1,"NC_017959.1,NC_017958.1,NC_017957.2,NC_017966.1","CP003240.1,CP003239.1,CP003237.2,CP003238.1",-,5,5849,5783,5/25/2012,6/9/2013,Complete
Methylobacterium extorquens CM4,PRJNA58933,Proteobacteria,Alphaproteobacteria,6.18073,68.0674,NC_011757.1,CP001298.1,"NC_011758.1,NC_011760.1","CP001299.1,CP001300.1",-,3,5853,5516,12/19/2008,12/11/2013,Complete
